split,accuracy,balanced_accuracy,macro_f1,weighted_f1
validation,0.8813333333333333,0.7498215748215747,0.7983727873061859,0.8765237484707222
test,0.9,0.8208968100347411,0.8464472393635116,0.898777626854941
